range_m,freq_hz,TL_db
500,0.0,53.980900086720375
500,31.25,53.980959131831554
500,62.5,53.98113564078586
500,93.75,53.981427752636286
500,125.0,53.981832425460425
500,156.25,53.98234552250023
500,187.5,53.98296192636131
500,218.75,53.98367567552038
500,250.0,53.984480116579476
500,281.25,53.9853680653827
500,312.5,53.98633197025752
500,343.75,53.987364071197916
500,375.0,53.988456549678865
500,406.25,53.98960166487219
500,437.5,53.99079187321308
500,468.75,53.99201992944259
500,500.0,53.993278968343446
500,531.25,53.994562567333524
500,562.5,53.99586479084961
500,593.75,53.99718021802847
500,625.0,53.99850395557841
500,656.25,53.99983163794888
500,687.5,54.001159416975035
500,718.75,54.00248394312746
500,750.0,54.00380234036507
500,781.25,54.00511217639941
500,812.5,54.006411429955065
500,843.75,54.00769845637461
500,875.0,54.008971952680874
500,906.25,54.010230922987425
500,937.5,54.01147464494507
500,968.75,54.01270263773349
500,1000.0,54.01391463195324
500,1031.25,54.015110541645356
500,1062.5,54.01629043856064
500,1093.75,54.01745452871824
500,1125.0,54.018603131228815
500,1156.25,54.01973665931008
500,1187.5,54.02085560338888
500,1218.75,54.02196051616109
500,1250.0,54.02305199946718
500,1281.25,54.024130692835
500,1312.5,54.02519726353982
500,1343.75,54.02625239803513
500,1375.0,54.02729679461301
500,1406.25,54.02833115716102
500,1437.5,54.02935618989131
500,1468.75,54.03037259292718
500,1500.0,54.031381058642445
500,1531.25,54.03238226865833
500,1562.5,54.033376891412324
500,1593.75,54.03436558022218
500,1625.0,54.03534897177672
500,1656.25,54.03632768499276
500,1687.5,54.03730232018477
500,1718.75,54.038273458500015
500,1750.0,54.039241661578124
500,1781.25,54.04020747139903
500,1812.5,54.04117141028797
500,1843.75,54.04213398105048
500,1875.0,54.04309566721379
500,1906.25,54.04405693335461
500,1937.5,54.04501822549576
500,1968.75,54.04597997155696
500,2000.0,54.046942581847084
500,2031.25,54.04790644958705
500,2062.5,54.048871951454494
500,2093.75,54.049839448142244
500,2125.0,54.05080928492462
500,2156.25,54.051781792225846
500,2187.5,54.052757286186484
500,2218.75,54.0537360692241
500,2250.0,54.05471843058535
500,2281.25,54.05570464688716
500,2312.5,54.05669498264505
500,2343.75,54.057689690787356
500,2375.0,54.05868901315416
500,2406.25,54.05969318098021
500,2437.5,54.06070241536136
500,2468.75,54.06171692770418
500,2500.0,54.06273692015868
500,2531.25,54.06376258603406
500,2562.5,54.06479411019781
500,2593.75,54.06583166945821
500,2625.0,54.066875432930665
500,2656.25,54.06792556238822
500,2687.5,54.06898221259662
500,2718.75,54.07004553163455
500,2750.0,54.071115661199215
500,2781.25,54.07219273689819
500,2812.5,54.07327688852761
500,2843.75,54.07436824033758
500,2875.0,54.075466911285034
500,2906.25,54.07657301527482
500,2937.5,54.07768666138923
500,2968.75,54.078807954106765
500,3000.0,54.07993699351035
500,3031.25,54.081073875485636
500,3062.5,54.08221869190985
500,3093.75,54.083371530831485
500,3125.0,54.08453247664142
500,3156.25,54.08570161023583
500,3187.5,54.08687900917119
500,3218.75,54.088064747811885
500,3250.0,54.08925889747073
500,3281.25,54.09046152654269
500,3312.5,54.09167270063229
500,3343.75,54.09289248267478
500,3375.0,54.09412093305165
500,3406.25,54.09535810970056
500,3437.5,54.096604068220046
500,3468.75,54.097858861969264
500,3500.0,54.09912254216298
500,3531.25,54.100395157962154
500,3562.5,54.101676756560124
500,3593.75,54.10296738326488
500,3625.0,54.104267081577404
500,3656.25,54.105575893266334
500,3687.5,54.10689385843926
500,3718.75,54.10822101561058
500,3750.0,54.10955740176636
500,3781.25,54.11090305242608
500,3812.5,54.11225800170164
500,3843.75,54.113622282353624
500,3875.0,54.11499592584504
500,3906.25,54.11637896239257
500,3937.5,54.11777142101558
500,3968.75,54.11917332958287
500,4000.0,54.120584714857344
